Company,EPS/FORECAST,REVENUE/FORECAST,MARKET CAP
Tuniu Corp(TOUR),-1.0 / -1.0,-1.0 / -1.0,126450000.0
Lilium NV(LILMF),-1.0 / -0.1627,-1.0 / 0.0,126190000.0
CNFinance(CNF),-1.0 / 0.04,-1.0 / 499340000.0,74750000.0
Eltek(ELTK),-1.0 / 0.31,-1.0 / 12400000.0,74540000.0
Monogram Orthopaedics(MGRM),-1.0 / -0.1,-1.0 / -1.0,70380000.0
Liquidmetal Tech(LQMT),-1.0 / -1.0,-1.0 / -1.0,42840000.0
The Intergroup(INTG),-1.0 / -1.0,-1.0 / -1.0,30720000.0
Icecure Medical(ICCM),-1.0 / -0.0726,-1.0 / 708500.0,29220000.0
ACMAT(ACMTA),-1.0 / -1.0,-1.0 / -1.0,29100000.0
Inhibitor Therapeutics(INTI),-1.0 / -1.0,-1.0 / -1.0,14650000.0
Sycamore Entmt Grp(SEGI),-1.0 / -1.0,-1.0 / -1.0,11660000.0
NVIDIA(NVDA),-1.0 / 0.7435,-1.0 / 32970000000.0,3580000000000.0
TJX(TJX),-1.0 / 1.09,-1.0 / 13960000000.0,136729999999.99998
Palo Alto Networks(PANW),-1.0 / 1.48,-1.0 / 2120000000.0,131990000000.00002
Target(TGT),-1.0 / 2.3,-1.0 / 25930000000.0,71420000000.0
Snowflake(SNOW),-1.0 / 0.1519,-1.0 / 899300000.0,43770000000.0
Bank Hapoalim ADR(BKHYY),-1.0 / 2.06,-1.0 / 1400000000.0,15040000000.0
Sage ADR(SGPYY),-1.0 / -1.0,-1.0 / -1.0,13540000000.0
Soquimich B ADR(SQM),-1.0 / 0.6298,-1.0 / 1080000000.0,10580000000.0
Wix.Com Ltd(WIX),-1.0 / 1.44,-1.0 / 443960000.0,10290000000.0
Severn Trent PLC PK(STRNY),-1.0 / -1.0,-1.0 / -1.0,9860000000.0
Nio A ADR(NIO),-1.83 / -1.92,19060000000.0 / 19090000000.0,9630000000.0
Grupo Financiero Galicia ADR(GGAL),-1.0 / 1.74,-1.0 / 1260000000.0,9380000000.0
Baloise ADR(BLHEY),-1.0 / -1.0,-1.0 / -1.0,8410000000.0
Berry Global(BERY),-1.0 / 2.06,-1.0 / 3130000000.0,7690000000.0
GlobalE Online(GLBE),-1.0 / -0.1402,-1.0 / 169210000.0,7060000000.0
Banco Macro B ADR(BMA),-1.0 / 1.75,-1.0 / -1.0,5850000000.0
Dycom Industries(DY),-1.0 / 2.31,-1.0 / 1220000000.0,5420000000.0
Maximus(MMS),-1.0 / 1.63,-1.0 / 1310000000.0,5290000000.0
British Land Company(BTLCY),-1.0 / -1.0,-1.0 / -1.0,4720000000.0
Copa(CPA),-1.0 / 3.48,-1.0 / 859070000.0,4160000000.0
Spire(SR),-1.0 / -0.4977,-1.0 / 365480000.0,3800000000.0
BBVA Argentina(BBAR),-1.0 / 0.2,-1.0 / -1.0,3790000000.0
Johnson Matthey(JMPLY),-1.0 / -1.0,-1.0 / -1.0,3240000000.0
Kindercare Learning(KLC),-1.0 / -0.02,-1.0 / 669420000.0,3140000000.0
ZIM Integrated Shipping Services(ZIM),-1.0 / 6.95,-1.0 / 2390000000.0,3010000000.0
Mesoblast(MEOBF),-1.0 / -0.013,-1.0 / 3860000.0,1310000000.0
Formula Systems ADR(FORTY),-1.0 / -1.0,-1.0 / -1.0,1200000000.0
Universal Technical Institute(UTI),-1.0 / 0.3,-1.0 / 191230000.0,1100000000.0
Kingsoft Cloud(KC),-1.0 / -1.07,-1.0 / 1880000000.0,1020000000.0
VNET DRC(VNET),-1.0 / 0.05,-1.0 / 2020000000.0,929040000.0
Jack In The Box(JACK),-1.0 / 1.11,-1.0 / 357660000.0,865640000.0
Cellcom(CELJF),-1.0 / -1.0,-1.0 / -1.0,830550000.0
G City(GZTGF),-1.0 / 0.148,-1.0 / -1.0,707790000.0
Cool Company Oy(CLCO),-1.0 / 0.4049,-1.0 / 80740000.0,571300000.0
Waldencast Acquisition(WALD),-1.0 / -0.05,-1.0 / 68650000.0,417050000.0
Jiayin(JFIN),-1.0 / -1.0,-1.0 / -1.0,345770000.0
GreenTree Hospitality(GHG),-1.0 / 0.67,-1.0 / 379030000.0,274370000.0
POET Technologies(POET),-1.0 / -0.07,-1.0 / 100000.0,271400000.0
Intchains ADR(ICG),-1.0 / -1.0,-1.0 / -1.0,253890000.0
StealthGas(GASS),-1.0 / 0.33,-1.0 / 39200000.0,217840000.0
Ngx Energy International(GASXF),-1.0 / -0.005,-1.0 / 10200000.0,165450000.0
G Willi-Food(WILC),-1.0 / -1.0,-1.0 / -1.0,157530000.0
Platinum Group Metals(PLG),-1.0 / -0.53,-1.0 / -1.0,155770000.0
IQE(IQEPF),-1.0 / -1.0,-1.0 / -1.0,122890000.0
Viomi Technology(VIOT),-1.0 / -1.0,-1.0 / -1.0,95530000.0
So-Young(SY),-1.0 / 0.2641,-1.0 / 357380000.0,72530000.0
Graphite One(GPHOF),-1.0 / -1.0,-1.0 / -1.0,71470000.0
Thunderbird Entertainment(THBRF),-1.0 / -1.0,-1.0 / -1.0,59890000.0
Franklin Wireless(FKWL),-1.0 / -1.0,-1.0 / -1.0,51730000.0
Calloways Nursery(CLWY),-1.0 / -1.0,-1.0 / -1.0,51200000.0
ClearSign(CLIR),-1.0 / -0.03,-1.0 / 1290000.0,47440000.0
SHL Telemedicine ADR(SHLT),-1.0 / -1.0,-1.0 / -1.0,44590000.0
Duos Tech(DUOT),-1.0 / -0.25,-1.0 / 2800000.0,36470000.0
Inspira Technologies Oxy BHN(IINN),-1.0 / -1.0,-1.0 / -1.0,23310000.0
Eom Pharmaceutical Holdings(IMUC),-1.0 / -1.0,-1.0 / -1.0,15090000.0
Intuit(INTU),-1.0 / 2.36,-1.0 / 3140000000.0,197860000000.0
PDD Holdings DRC(PDD),-1.0 / 19.58,-1.0 / 102870000000.0,158040000000.0
Deere&Company(DE),-1.0 / 3.89,-1.0 / 9230000000.0,106540000000.0
Baidu(BIDU),-1.0 / 17.92,-1.0 / 33650000000.0,29740000000.0
Ke Hldg(BEKE),-1.0 / 1.56,-1.0 / 22890000000.0,24100000000.0
Warner Music(WMG),-1.0 / 0.2796,-1.0 / 1590000000.0,17059999999.999998
BJs Wholesale Club(BJ),-1.0 / 0.9194,-1.0 / 5130000000.0,11720000000.0
Huazhu(HTHT),-1.0 / 4.34,-1.0 / 6530000000.0,11260000000.0
Gap(GAP),-1.0 / 0.5768,-1.0 / 3810000000.0,8380000000.000001
UGI(UGI),-1.0 / -0.25,-1.0 / 1650000000.0,5050000000.0
Subsea 7 ADR(SUBCY),-1.0 / 0.2432,-1.0 / 1790000000.0,4660000000.0
Britvic ADR(BTVCY),-1.0 / -1.0,-1.0 / -1.0,4040000000.0
Atkore Intl(ATKR),-1.0 / 2.47,-1.0 / 749490000.0,3330000000.0
Genting Berhad(GEBHY),-1.0 / -1.0,-1.0 / -1.0,3280000000.0
Golden Ocean(GOGL),-1.0 / 0.2927,-1.0 / 191260000.0,2340000000.0
iQIYI(IQ),-1.0 / 0.387,-1.0 / 7250000000.0,2109999999.9999998
Vestis(VSTS),-1.0 / 0.33,-1.0 / 749380000.0,1850000000.0
Shoe Carnival(SCVL),-1.0 / 0.69,-1.0 / 321440000.0,1030000000.0
Natural Grocers Vitamin(NGVC),-1.0 / 0.28,-1.0 / 315130000.0,762670000.0
Gaotu Techedu DRC(GOTU),-1.0 / -0.81,-1.0 / 1210000000.0,703760000.0
Ellaktor ADR(ELLKY),-1.0 / -1.0,-1.0 / -1.0,645110000.0
Ituran(ITRN),-1.0 / 0.6375,-1.0 / -1.0,549860000.0
Northwest Biotherapeutics(NWBO),-1.0 / -1.0,-1.0 / -1.0,386300000.0
Nano X(NNOX),-1.0 / -0.217,-1.0 / 3910000.0,364440000.0
Inventiva(IVA),-1.0 / -0.56,-1.0 / 1500000.0,226300000.0
Baozun Inc(BZUN),-1.0 / 0.46,-1.0 / 1870000000.0,150570000.0
Cerence(CRNC),-1.0 / -0.3643,-1.0 / 47710000.0,133360000.00000001
Sailfish Royalty(SROYF),-1.0 / -1.0,-1.0 / -1.0,69070000.0
Huize(HUIZ),-1.0 / -1.0,-1.0 / -1.0,37200000.0
Community Capital(ALBY),-1.0 / -1.0,-1.0 / -1.0,25750000.0
Vivesto AB DRC(OASMY),-1.0 / -1.0,-1.0 / -1.0,13510000.0
Evogene(EVGN),-1.0 / -1.01,-1.0 / 2850000.0,10480000.0
Meituan(MPNGF),-1.0 / 0.2714,-1.0 / 12950000000.0,133660000000.0
Meituan(MPNGY),-1.0 / 0.5428,-1.0 / 12950000000.0,133660000000.0
Ackermans Van Haaren ADR(AVHNY),-1.0 / -1.0,-1.0 / -1.0,6290000000.0
Buckle(BKE),0.8403 / 0.8403,293600000.0 / 286020000.0,2440000000.0
NV Bekaert ADR(BEKAY),-1.0 / -1.0,-1.0 / -1.0,1800000000.0
Global Blue Group Holding(GB),-1.0 / 0.12,-1.0 / 134700000.0,1340000000.0
Destination XL Group(DXLG),-1.0 / 0.055,-1.0 / 120460000.0,173900000.0
Sunlands Tech(STG),-1.0 / -1.0,-1.0 / -1.0,92910000.0
Falcon Oil & Gas(FOLGF),-1.0 / -1.0,-1.0 / -1.0,63380000.0
Natuzzi(NTZ),-1.0 / -1.0,-1.0 / -1.0,44610000.0
